step,mean,median,p90,p99,max
0,1.527804208822578e-05,1.3409681287157582e-05,2.3463418983737938e-05,4.679600497183797e-05,0.0001832214038586244
100,3.319511788447376e-05,3.044188633793965e-05,4.103323408344295e-05,9.33438725041923e-05,0.0006086031207814813
200,3.209495246027173e-05,2.931455492216628e-05,3.99310483771842e-05,9.580644546076606e-05,0.0006131639238446951
300,3.345844057697084e-05,3.0513810997945257e-05,4.1229122871300206e-05,0.00010351486052968524,0.0006284473929554224
400,1.6910954980444864e-05,1.5583897948090453e-05,2.0533952010737266e-05,4.7239639025065054e-05,0.0003163722576573491
500,1.607871661414771e-05,1.4677605577162467e-05,1.9743726625165436e-05,4.535403677436974e-05,0.0003275445196777582
600,1.7169956778933277e-05,1.57747554112575e-05,2.14006149690249e-05,5.1608686408144406e-05,0.00031500007025897503
700,1.8511122056663214e-05,1.6756944205553737e-05,2.3975946533028036e-05,5.375719319999905e-05,0.0002894430363085121
800,1.5773351113963973e-05,1.4390919659490464e-05,1.9592701391957235e-05,4.43992445070761e-05,0.00031007116194814444
900,1.6296847549779336e-05,1.4896339052938856e-05,2.0239427612978034e-05,4.638957288989329e-05,0.00031406202469952404
1000,1.694876935897411e-05,1.543188136565732e-05,2.0853289242950268e-05,4.758834802487393e-05,0.0003423502203077078
1100,1.67854761382353e-05,1.540423727419693e-05,2.073115228995448e-05,4.60749406556713e-05,0.0003064799529965967
1200,1.6186155609318464e-05,1.48640428960789e-05,1.9781938135565724e-05,4.6982601634226716e-05,0.00030889135086908937
1300,1.7194198528271342e-05,1.5955647540977225e-05,2.10591688301065e-05,4.741700231534173e-05,0.0003150985576212406
1400,1.8044627165615867e-05,1.657459324633237e-05,2.2060764422349166e-05,5.110995825816627e-05,0.00035304774064570665
1500,1.7480127560526898e-05,1.5982265722414013e-05,2.183651213272242e-05,4.584257349051734e-05,0.0003177429607603699
1600,1.6824417977103927e-05,1.537074331281474e-05,2.061632494587684e-05,4.56852003480888e-05,0.0003342018462717533
1700,1.634661884564776e-05,1.4897158507665154e-05,2.026873789873207e-05,4.434301226865474e-05,0.0003228941059205681
1800,1.7761098330045313e-05,1.627646361157531e-05,2.1788798221678007e-05,5.092926257930216e-05,0.00033929661731235683
1900,1.6705528593960066e-05,1.5296346646209713e-05,2.061497980321292e-05,4.682271865021899e-05,0.00031496110022999346
2000,1.9221344456052787e-05,1.7842865418060683e-05,2.3317727027460933e-05,5.323614605003957e-05,0.00032698491122573614
2100,1.6829275338668482e-05,1.547828742332058e-05,2.081311322399415e-05,4.671498591051196e-05,0.00032210597419179976
2200,1.8168133938692432e-05,1.6632131519145332e-05,2.2094458472565748e-05,5.146683379280128e-05,0.00034259576932527125
2300,1.771782225967744e-05,1.6125220099638682e-05,2.2070007617003284e-05,5.000721339456494e-05,0.0003228436107747257
2400,1.768930216929484e-05,1.621973842702573e-05,2.1582677618425805e-05,4.39849018221135e-05,0.000336139346472919
2500,1.9208804532346224e-05,1.781411083356943e-05,2.3776724447088782e-05,5.05436099047072e-05,0.0003335447399877012
2600,1.8106699072171057e-05,1.659549707255792e-05,2.2285416889644694e-05,4.779676892212566e-05,0.0003561359189916402
2700,1.7878837726462544e-05,1.6329966456396505e-05,2.2082697796577122e-05,4.853394166275391e-05,0.0003527748049236834
2800,1.8065928782939095e-05,1.6541260265512392e-05,2.2172292119648773e-05,5.02057726407655e-05,0.0003655513282865286
2900,1.8008878438649116e-05,1.6578483155171853e-05,2.1728105821239296e-05,5.04671044836867e-05,0.0003342401178088039
3000,1.7982857308235282e-05,1.646650071052136e-05,2.247709926450625e-05,5.044826193625339e-05,0.0003445691254455596
3100,1.7893298331232215e-05,1.6384731679863762e-05,2.2220151549845468e-05,5.024846886954017e-05,0.00036627965164370835
3200,1.768963084228099e-05,1.6259553376585245e-05,2.1693941562261898e-05,4.877205774391766e-05,0.0003387141623534262
3300,1.83150638699271e-05,1.671048903517658e-05,2.2598214854951948e-05,4.7794340025575306e-05,0.0003746156580746174
3400,1.8603827627068042e-05,1.719004831102211e-05,2.2803767024015542e-05,5.083556789031709e-05,0.00034896814031526446
3500,1.8079969665463214e-05,1.6705428606655914e-05,2.1809111785842106e-05,4.94842901389347e-05,0.0003401994763407856
3600,1.8381706475552517e-05,1.698908363323426e-05,2.2483035536424723e-05,5.184990895941154e-05,0.0003295747155789286
3700,1.7725451880838484e-05,1.6213908565987367e-05,2.156331902369857e-05,4.878725667367672e-05,0.0003584116348065436
3800,1.8667815516531278e-05,1.7138381736003794e-05,2.2956644897931255e-05,4.8535145288042124e-05,0.00035850045969709754
3900,1.8040268913134738e-05,1.647741282795323e-05,2.1893038137932308e-05,4.905955502181299e-05,0.00035618821857497096
4000,1.8783171844465635e-05,1.7319939615845215e-05,2.2704991351929493e-05,4.999653574486699e-05,0.00036259714397601783
4100,1.910899604031156e-05,1.7537621715746354e-05,2.3064522792992648e-05,5.2311002218630066e-05,0.00034965769737027586
4200,1.862310560220491e-05,1.7194309293699916e-05,2.2658029593003448e-05,5.092894025437989e-05,0.00035756020224653184
4300,1.8458256415760615e-05,1.7062551705748774e-05,2.27434184125741e-05,4.833268576476245e-05,0.00035179147380404174
4400,1.772660698256704e-05,1.6329441677953582e-05,2.1625624867738225e-05,4.4491122571343874e-05,0.0003646404657047242
4500,1.9443602599501985e-05,1.7896267308969982e-05,2.3790880732121877e-05,5.310014930728333e-05,0.0003652798477560282
4600,1.9723691802031595e-05,1.833736132539343e-05,2.3963892090250738e-05,4.9899473924597237e-05,0.0003852485679090023
4700,1.921502566324237e-05,1.7711644431983586e-05,2.2966377400734928e-05,5.6674000006751144e-05,0.0003769315080717206
4800,1.9166349883097717e-05,1.7870562260213774e-05,2.306783790118061e-05,5.410044686868773e-05,0.00033697369508445263
4900,1.9883428616505683e-05,1.8277302842761856e-05,2.4310810658789705e-05,5.685501455445757e-05,0.00039266119711101055
5000,1.8669719099703324e-05,1.7307605958194472e-05,2.300982941960683e-05,5.241644612397054e-05,0.0003196759207639843
5100,2.02009320927145e-05,1.8622253264766186e-05,2.502592178643681e-05,5.490569183166348e-05,0.00036795050255022943
5200,1.847621249032435e-05,1.6968622730928473e-05,2.2698287466482725e-05,5.65051661396864e-05,0.0003485383349470794
