step,mean,median,p90,p99,max
1900,3.407549800219353e-05,3.451096381468233e-05,3.9036909583956e-05,5.033248307881876e-05,9.51211477513425e-05
2000,3.623037623867731e-05,3.630894389061723e-05,4.349827031546738e-05,5.458467512653439e-05,7.915941387182102e-05
2100,3.3930091815039176e-05,3.417756124690641e-05,3.9450847907573916e-05,5.081946983409576e-05,8.44701862661168e-05
2200,3.4563174180237055e-05,3.509054658934474e-05,3.99290493078297e-05,5.333936442184493e-05,9.501374734099954e-05
2300,3.386507059336249e-05,3.4021302781184204e-05,3.97154399252031e-05,4.871532964898497e-05,9.157902968581766e-05
2400,3.508792624375344e-05,3.535761607054155e-05,4.095190524822101e-05,4.9906123240361865e-05,8.89700822881423e-05
2500,3.4377657115669535e-05,3.4602146115503274e-05,3.959724199376069e-05,4.838219429075251e-05,8.940396219259128e-05
2600,3.456385928148263e-05,3.506789835228119e-05,3.99732671212405e-05,4.938210640830219e-05,8.533136860933155e-05
2700,3.9873853558398355e-05,3.8130174289108254e-05,5.100275666336529e-05,7.743115529592613e-05,0.0001459381601307541
2800,3.2715898859083025e-05,3.287997060397174e-05,3.8036559999454767e-05,5.030434076616066e-05,7.757652929285541e-05
2900,3.5844823272108374e-05,3.621578616730403e-05,4.215954140818212e-05,5.320275577105346e-05,8.646809146739542e-05
3000,3.438044519096398e-05,3.458137143752538e-05,3.989976721641142e-05,5.145052527950608e-05,8.452586189378053e-05
3100,3.454896325446758e-05,3.480246050457936e-05,3.992137135355733e-05,5.092003902973367e-05,9.256400517188013e-05
3200,3.504709081779213e-05,3.546341213223059e-05,4.031708886031993e-05,5.0597935296536824e-05,8.606521441834047e-05
3300,3.668785642016051e-05,3.7316516682039946e-05,4.2261484850314446e-05,5.324212324921971e-05,8.343473746208474e-05
3400,3.65199493391596e-05,3.707925679918844e-05,4.1995319406851195e-05,5.129468572704353e-05,8.079732651822269e-05
3500,3.4305960468827834e-05,3.456638842180837e-05,3.958773231715895e-05,5.0831068801926364e-05,0.00010895993909798563
3600,3.572754888990305e-05,3.60659760190174e-05,4.0977138269227e-05,5.2885012155456904e-05,7.85656739026308e-05
3700,3.573724206822655e-05,3.60803405783372e-05,4.163229823461734e-05,5.420512479759052e-05,8.169563807314262e-05
3800,3.482684095753744e-05,3.5278882933198474e-05,4.057868318341207e-05,5.346131856640566e-05,8.872528269421309e-05
3900,3.5454491950304146e-05,3.585340891731903e-05,4.129012631892692e-05,5.381466053222538e-05,8.579533459851518e-05
4000,3.4981512578318484e-05,3.53919585904805e-05,4.039262967125978e-05,5.288030934025298e-05,7.353050023084506e-05
4100,3.623233725948337e-05,3.667112105176784e-05,4.2039959225803614e-05,5.219814047450196e-05,8.793509914539754e-05
